[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent],[Balance Sheet],[Balance Sheet_Name],[US 1120 Balance Sheet],US 1120 Balance Sheet_Name,[Profit & Loss],[Profit & Loss_Name],[US 1120 Income Statement],[US 1120 Income Statement_Name],[Cash Flow],[Cash Flow_Name]
1701,无形资产,无实物形态的可辨认非货币性资产（专利权、土地使用权等）,Asset,,,,,1,,,,,,,,,,
1702,累计摊销,对使用寿命有限的无形资产计提的累计摊销,Asset,,,,,1,,,,,,,,,,
1703,无形资产减值准备,无形资产计提减值,Asset,,,,,1,,,,,,,,,,
1711,商誉,合并中形成的商誉价值,Asset,,,,,1,,,,,,,,,,
1801,长期待摊费用,已经发生但应由本期和以后各期负担的分摊期限在1 年以上的各项费用，如以经营租赁方式租入的固定资产发生的改良支出等,Asset,,,,,1,,,,,,,,,,
1811,递延所得税资产,计算递延所得税=递延所得税负债-递延所得税资产,Asset,,,,,1,,,,,,,,,,
1901,待处理财产损溢,现金和存货盘盈、盘亏、固定资产盘亏；物资在运输途中发生的非正常短缺与损耗,Asset,,,,,1,,,,,,,,,,
190101,待处理财产损溢-现金,,Asset,,,,,1,,,,,,,,,,
190102,待处理财产损溢-存货,,Asset,,,,,1,,,,,,,,,,
190103,待处理财产损溢-固定资产,,Asset,,,,,1,,,,,,,,,,
190104,待处理财产损溢-语速损耗,,Asset,,,,,1,,,,,,,,,,
2,负债类,,Liability,,,Yes,,,,,,,,,,,,
2001,短期借款,向银行或其他金融机构等借入的1年及1年以下的款项,Liability,,,,,2,,,,,,,,,,
2101,交易性金融负债,以公允价值计量且其变动计入当期损益的金融负债,Liability,,,,,2,,,,,,,,,,
2201,应付票据,购买材料、商品和接受劳务供应等开出、承兑的商业汇票，包括银行承兑汇票和商业承兑汇票,Liability,,,,,2,,,,,,,,,,
2202,应付账款,应付供应单位的款项,Liability,Credit,,Yes,,2,,,,,,,,,,
220201,应付账款 - 贸易,Accounts Payable Trade - Accounts Payables,Liability,Credit,Yes,,V_LIABILITY_ACCT,2202,,,,,,,,,,
220202,应付账款 - 服务,Accounts Payable Services - Accounts Payables for non-product revenue,Liability,Credit,Yes,,V_LIABILITY_SERVICES_ACCT,2202,,,,,,,,,,
220203,应付账款 - 暂估,"Not invoiced receipts - Received products/services from vendors, but not invoiced",Liability,Credit,Yes,,NOTINVOICEDRECEIPTS_ACCT,2202,,,,,,,,,,
220204,付款选择,Payment selection - Selected A/P invoices for payment,Liability,Credit,Yes,,B_PAYMENTSELECT_ACCT,2202,,,,,,,,,,
220205,应付账款 - 公司内部往来,Intercompany Due To - Default Payables account for intercompany trx,Liability,Credit,Yes,,INTERCOMPANYDUETO_ACCT,2202,,,,,,,,,,
2203,预收账款,想购货单位预收的定金等款项,Liability,Credit,,Yes,,2,,,,,,,,,,
220301,预收账款 - 客户,Customer Prepayments - Prepayments for future revenue,Liability,Credit,Yes,,C_PREPAYMENT_ACCT,2203,,,,,,,,,,
220302,预收账款 - 其他,,Liability,Credit,,,,2203,,,,,,,,,,
2205,合同负债,,Liability,Credit,,,,2,,,,,,,,,,
2211,应付职工薪酬,根据有关规定应付给职工的各种薪酬；企业（外商）按规定从净利润中提取的职工奖励及福利基金,Liability,,,,,2,,,,,,,,,,
2221,应交税费,按照税法等规定计算应交纳的各种税费，包括增值税、消费税、营业税、所得税、资源税、土地增值税、城市维护建设税、房产税、土地使用税、车船使用税、教育费附加、矿产资源补偿费等；企业代扣代交的个人所得税等,Liability,Credit,,Yes,,2,,,,,,,,,,
222101,应交税费- 增值税,应交税费→应交增值税 ,Liability,Credit,,,T_DUE_ACCT,2221,,,,,,,,,,
222102,应交税费- 其他,应交税费→其他,Liability,Credit,,,,2221,,,,,,,,,,
2231,应付利息,按借款合同应支付给债权人的利息,Liability,,,,,2,,,,,,,,,,
2232,应付股利,应分配给投资者的现金股利或利润,Liability,,,,,2,,,,,,,,,,
2241,其他应付款,除应付票据、应付账款、预收账款、应付职工薪酬、应付利息、应付股利、应交税费、长期应付款等以外的其他各项应付、暂收的款项,Liability,Credit,,,,2,,,,,,,,,,
2314,代理业务负债,不承担风险的代理业务收到的款项，包括受托投资资金、受托贷款资金等；企业采用收取手续费方式收到的代销商品款，可将本科目改为“2314 受托代销商品款”科目,Liability,,,,,2,,,,,,,,,,
2401,递延收益,尚待确认的收入或收益。应在以后期间计入当期损益的政府补偿或补助,Liability,,,,,2,,,,,,,,,,
2501,长期借款,企业从银行或其他金融机构借入的期限在1年以上(不含1 年)项借款,Liability,,,,,2,,,,,,,,,,
2502,应付债券,为筹集（长期）资金而发行债券的本金和利息；企业发行的可转换公司债券，应将负债和权益成份进行分拆，分拆后形成的负债成份在本科目核算,Liability,,,,,2,,,,,,,,,,
2701,长期应付款,除长期借款和应付债券以外的其他各种长期应付款项，包括应付融资租入固定资产的租赁费、以分期付款方式购入固定资产等发生的应付款项等,Liability,,,,,2,,,,,,,,,,
2702,未确认融资费用,应当分期计入利息费用的未确认融资费用,Liability,,,,,2,,,,,,,,,,
2711,专项应付款,取得政府作为企业所有者投入的具有专项或特定用途的款项,Liability,,,,,2,,,,,,,,,,
2801,预计负债,确认的对外提供担保、未决诉讼、产品质量保证、重组义务、亏损性合同等预计负债,Liability,,,,,2,,,,,,,,,,
2901,递延所得税负债,确认的应纳税暂时性差异产生的所得税负债,Liability,,,,,2,,,,,,,,,,
3,共同类,同时具有资产性质和负债性质的科目的分类。通常被金融、保险、投资和基金等公司广泛使用,Memo,,,Yes,,,,,,,,,,,,
3101,衍生工具,衍生工具的公允价值及其变动形成的衍生资产或衍生负债；衍生工具作为套期工具的，在“套期工具”科目核算,Memo,,,,,3,,,,,,,,,,
3201,套期工具,开展套期保值业务（包括公允价值套期、现金流量套期和境外经营净投资套期）套期工具公允价值变动形成的资产或负债,Memo,,,,,3,,,,,,,,,,
3202,被套期项目,开展套期保值业务被套期项目公允价值变动形成的资产或负债,Memo,,,,,3,,,,,,,,,,
4,所有者权益,,Owner's equity,,,Yes,,,,,,,,,,,,
4001,实收资本,企业注册登记的法定资本总额的来源，值股东按照约定实际投入企业的资本,Owner's equity,,,,,4,,,,,,,,,,
4002,资本公积,投资者或者他人投入到企业、所有权属于投资者，且投入金额尚超出法定资本的部分的资本,Owner's equity,,,,,4,,,,,,,,,,
4101,盈余公积,保护公益金和一般盈余公积，属于企业的税后利润的积累,Owner's equity,,,,,4,,,,,,,,,,
4103,本年利润,当期实现的净利润(或发生的净亏损),Owner's equity,Credit,,,,4,,,,,,,,,,
4104,利润分配,利润的分配(或亏损的弥补)和历年分配(或弥补)后的余额,Owner's equity,,,,,4,,,,,,,,,,
5,成本类,,Expense,,,Yes,,,,,,,,,,,,
5001,生产成本,进行工业性生产发生的各项生产成本，包括生产各种产品(产成品、自制半成品等)、自制材料、自制工具、自制设备等；,Expense,,,Yes,,5,,,,,,,,,,
500101,基本生产成本,,Expense,,,,,5001,,,,,,,,,,
500102,辅助生产成本,,Expense,,,,,5001,,,,,,,,,,
500110,产品成本调整,Landed Cost Clearing - Default Landed Cost Clearing,Expense,,Yes,,P_COSTADJUSTMENT_ACCT,5001,,,,,,,,,,
500112,废品损失,,Expense,,,,,5001,,,,,,,,,,
500113,外包费用,,Expense,,,,,5001,,,,,,,,,,
500120,产品费用,,Expense,,Yes,,P_EXPENSE_ACCT,5001,,,,,,,,,,
5005,库存成本,,Expense,,,Yes,,5,,,,,,,,,,
500501,库存差异,,Expense,,Yes,,W_DIFFERENCES_ACCT,5005,,,,,,,,,,
500502,库存调节,,Expense,,Yes,,,5005,,,,,,,,,,
500503,库存重估,,Expense,,Yes,,,5005,,,,,,,,,,
500504,到岸成本结算,缺省到岸成本结算科目,Expense,,Yes,,P_LANDEDCOSTCLEARING_ACCT,5005,,,,,,,,,,
5006,销货成本差异,,Expense,,,Yes,,5,,,,,,,,,,
500601,发票价差(IPV),Invoice price variance - Difference between product cost and invoice price (IPV),Expense,,Yes,,P_INVOICEPRICEVARIANCE_ACCT,5006,,,,,,,,,,
500602,采购价差(PPV),Purchase price variance - Difference between purchase price and standard costs (PPV),Expense,,Yes,,P_PURCHASEPRICEVARIANCE_ACCT,5006,,,,,,,,,,
500603,采购价差(PPV)冲抵,Purchase price variance Offset - Offset Account for Purchase price variance (PPV) ,Expense,,Yes,,PPVOFFSET_ACCT,5006,,,,,,,,,,
500604,数量差异,,Expense,Debit,,,,5006,,,,,,,,,,
500605,方法规格变更差异,,Expense,,,,,5006,,,,,,,,,,
500606,工单费率差异,,Expense,,Yes,,P_RATEVARIANCE_ACCT,5006,,,,,,,,,,
500607,混合差异,,Expense,Debit,Yes,,,5006,,,,,,,,,,
500608,平均成本差异,,Expense,,Yes,,P_AVERAGECOSTVARIANCE_ACCT,5006,,,,,,,,,,
5007,销货折扣,,Expense,,,Yes,,5,,,,,,,,,,
500701,销货折扣收入,,Expense,,Yes,,P_TRADEDISCOUNTREC_ACCT,5007,,,,,,,,,,
500702,付款折扣费用,,Expense,,Yes,,PAYDISCOUNT_REV_ACCT,5007,,,,,,,,,,
5101,制造费用,为生产所消耗生产车间里所发生的，不可以直接划分至某项产品的各项费用,Expense,,,,,5,,,,,,,,,,
5201,劳务成本,对外提供劳务发生的成本,Expense,,,,,5,,,,,,,,,,
5301,研发支出,进行研究与开发无形资产过程中发生的各项支出,Expense,,,,,5,,,,,,,,,,
5401,工程施工,（建造承包商）实际发生的合同成本和合同毛利,Expense,,,,,5,,,,,,,,,,
5402,工程结算,（建造承包商）根据建造合同约定向业主办理结算的累计金额,Expense,,,,,5,,,,,,,,,,
5403,机械作业,科目核算企业（建造承包商）及其内部独立核算的施工单位、机械站和运输队使用自有施工机械和运输设备进行机械作业（包括机械化施工和运输作业等）所发生的各项费用；企业及其内部独立核算的施工单位，从外单位或本企业其他内部独立核算的机械站租入施工机械发生的机械租赁费，在“工程施工”科目核算,Expense,,,,,5,,,,,,,,,,
6,损益类,,Revenue,,,Yes,,,,,,,,,,,,
6001,主营业务收入,确认的销售商品、提供劳务等主营业务的收入,Revenue,,,Yes,,6,,,,,,,,,,
600101,销售商品收入,,Revenue,,Yes,,P_REVENUE_ACCT,6001,,,,,,,,,,
600102,销售折扣,,Revenue,,Yes,,UNEARNEDREVENUE_ACCT,6001,,,,,,,,,,
600103,未开发票收入,,Revenue,,,,,6001,,,,,,,,,,
600104,销售折扣,,Revenue,,Yes,,P_TRADEDISCOUNTGRANT_ACCT,6001,,,,,,,,,,
600105,主营付款折扣费用,,Expense,,Yes,,PAYDISCOUNT_EXP_ACCT,6001,,,,,,,,,,
6051,其他业务收入,确认的除主营业务活动以外的其他经营活动实现的收入,Revenue,,,,,6,,,,,,,,,,
6061,外币汇率损益,,Revenue,,,Yes,,6,,,,,,,,,,
606101,银行外币重估获利,,Revenue,,,,,6061,,,,,,,,,,
606102,银行外币结算盈利,,Revenue,,,,,6061,,,,,,,,,,
606103,未变现获利,,Revenue,,Yes,,UNREALIZEDGAIN_ACCT,6061,,,,,,,,,,
606104,已变现获利,,Revenue,,Yes,,REALIZEDGAIN_ACCT,6061,,,,,,,,,,
6101,公允价值变动损益,企业以各种资产，如投资性房地产、债务重组、非货币交换、交易性金融资产等公允价值变动形成的应计入当期损益的利得或损失。即公允价值与账面价值之间的差额,Revenue,,,,,6,,,,,,,,,,
6111,投资收益,确认的投资收益或投资损失,Revenue,,,,,6,,,,,,,,,,
6301,营业外收入,科目核算企业发生的各项营业外收入，主要包括非流动资产处置利得、非货币性资产交换利得、债务重组利得、政府补助、盘盈利得、捐赠利得等,Revenue,,,Yes,,6,,,,,,,,,,
630101,利息收入,,Revenue,,Yes,,B_INTERESTREV_ACCT,6301,,,,,,,,,,
6401,主营业务成本,确认销售商品、提供劳务等主营业务收入时应结转的成本,Expense,,Yes,Yes,,6,,,,,,,,,,
640101,商品销售成本,,Expense,,Yes,,P_COGS_ACCT,6401,,,,,,,,,,
640102,提供劳务成本,,Expense,,,,,6401,,,,,,,,,,
640103,建造合同成本,,Expense,,,,,6401,,,,,,,,,,
640104,让渡资产使用权成本,,Expense,,,,,6401,,,,,,,,,,
6402,其他业务成本,确认的除主营业务活动以外的其他经营活动所发生的支出，包括销售材料的成本、出租固定资产的折旧额、出租无形资产的摊销额、出租包装物的成本或摊销额等；采用成本模式计量投资性房地产的，其投资性房地产计提的折旧额或摊销额，也通过本科目核算,Revenue,,,,,6,,,,,,,,,,
6403,税金及附加,经营活动发生的营业税、消费税、城市维护建设税、资源税和教育费附加等相关税费；房产税、车船使用税、土地使用税、印花税在“管理费用”科目核算，但与投资性房地产相关的房产税、土地使用税在本科目核算；除主营业务活动以外的其他经营活动发生的相关税费，在“营业税金及附加”科目核算,Expense,,Yes,,T_EXPENSE_ACCT,6,,,,,,,,,,
6601,销售费用,销售商品和材料、提供劳务的过程中发生的各种费用，包括保险费、包装费、展览费和广告费、商品维修费、预计产品质量保证损失、运输费、装卸费等以及为销售本企业商品而专设的销售机构(含销售网点、售后服务网点等)的职工薪酬、业务费、折旧费等经营费用；企业发生的与专设销售机构相关的固定资产修理费用等后续支出，也在本科目核算,Revenue,,,,,6,,,,,,,,,,
6602,管理费用,为组织和管理企业生产经营所发生的管理费用,Expense,,,Yes,,6,,,,,,,,,,
660201,职工薪酬,,Expense,,,,,6602,,,,,,,,,,
660202,折旧,,Expense,,,,,6602,,,,,,,,,,
660203,办公费,,Expense,,,,,6602,,,,,,,,,,
660204,差旅费,,Expense,,,,,6602,,,,,,,,,,
660205,工会经费,,Expense,,,,,6602,,,,,,,,,,
660206,董事会费,,Expense,,,,,6602,,,,,,,,,,
660207,业务招待费,,Expense,,,,,6602,,,,,,,,,,
660208,租赁费,,Expense,,,,,6602,,,,,,,,,,
660209,水电费,,Expense,,,,,6602,,,,,,,,,,
660210,房产税,,Expense,,,,,6602,,,,,,,,,,
660211,车船使用税,,Expense,,,,,6602,,,,,,,,,,
660212,土地使用税,,Expense,,,,,6602,,,,,,,,,,
660213,印花税,,Expense,,,,,6602,,,,,,,,,,
660214,矿产资源补偿费,,Expense,,,,,6602,,,,,,,,,,
660215,排污费,,Expense,,,,,6602,,,,,,,,,,
660216,无形资产摊销,,Expense,,,,,6602,,,,,,,,,,
660217,长期待摊费用摊销,,Expense,,,,,6602,,,,,,,,,,
660218,研究费用,,Expense,,,,,6602,,,,,,,,,,
660219,其他费用,,Expense,,Yes,,CH_EXPENSE_ACCT,6602,,,,,,,,,,
6603,财务费用,为筹集生产经营所需资金等而发生的筹资费用，包括利息支出(减利息收入)、汇兑损益以及相关的手续费、企业发生的现金折扣或收到的现金折扣等；为购建或生产满足资本化条件的资产发生的应予资本化的借款费用，在“在建工程”、“制造费用”等科目核算,Expense,,,Yes,,6,,,,,,,,,,
660301,利息支出,,Expense,,,,,6603,,,,,,,,,,
660302,利息收入,,Expense,,,,,6603,,,,,,,,,,
660303,汇兑差额,,Expense,,,,,6603,,,,,,,,,,
660304,手续费,,Expense,,,,,6603,,,,,,,,,,
660305,现金折扣,,Expense,,,,,6603,,,,,,,,,,
6701,资产减值损失,计提各项资产减值准备所形成的损失,Revenue,,,,,6,,,,,,,,,,
6711,营业外支出,发生的各项营业外支出，包括非流动资产处置损失、非货币性资产交换损失、债务重组损失、公益性捐赠支出、非常损失、盘亏损失等,Expense,,,Yes,,6,,,,,,,,,,
671103,利息支出,,Expense,,Yes,,B_INTERESTEXP_ACCT,6711,,,,,,,,,,
671110,货币损失,,Expense,,,Yes,,6711,,,,,,,,,,
67111001,货币差异调整,,Expense,,Yes,,CURRENCYBALANCING_ACCT,671110,,,,,,,,,,
67111002,已实现跌价损失,,Expense,,Yes,,REALIZEDLOSS_ACCT,671110,,,,,,,,,,
67111003,未实现跌价损失,,Expense,,Yes,,UNREALIZEDLOSS_ACCT,671110,,,,,,,,,,
67111004,银行外币重估损失,,Expense,,,,,671110,,,,,,,,,,
67111005,银行外币结算损失,,Expense,,,,,671110,,,,,,,,,,
6801,所得税费用,确认的应从当期利润总额中扣除的所得税费用；本科目可按“当期所得税费用”、“递延所得税费用”进行明细核算,Expense,,Yes,,,6,,,,,,,,,,
6901,以前年度损益调整,本年度发生的调整以前年度损益的事项以及本年度发现的重要前期差错更正涉及调整以前年度损益的事项；企业在资产负债表日至财务报告批准报出日之间发生的需要调整报告年度损益的事项，也可以通过本科目核算,Revenue,,Yes,,,6,,,,,,,,,,
6910,所得合计,,Revenue,,,,,6,,,,,,,,,,
7,暂记与其他类,,Expense,,,Yes,,,,,,,,,,,,
7010,暂记账户,,Expense,,,Yes,,7,,,,,,,,,,
701001,默认暂记账户,,Expense,,Yes,,DEFAULT_ACCT,7010,,,,,,,,,,
701002,暂记余额,,Expense,,Yes,,SUSPENSEBALANCING_ACCT,7010,,,,,,,,,,
701003,暂记错误,,Expense,,,,,7010,,,,,,,,,,
701004,现金簿支出,,Expense,,Yes,,CB_EXPENSE_ACCT,7010,,,,,,,,,,
701005,现金簿收入,,Revenue,,Yes,,CB_RECEIPT_ACCT,7010,,,,,,,,,,
701007,费用收入,,Revenue,,,,,7010,,,,,,,,,,
7020,其他费用,,Expense,,,Yes,,7,,,,,,,,,,
702001,坏账冲销,,Expense,,Yes,,WRITEOFF_ACCT,7020,,,,,,,,,,
702002,零用现金盈亏,,Expense,,Yes,,CB_DIFFERENCES_ACCT,7020,,,,,,,,,,
9,承诺确认会计,承诺确认会计（Commitment accounting）是成本与费用的计提。与我国的预算会计、责任会计概念接近,Memo,,,Yes,,,,,,,,,,,,
9101,采购承诺款,,Memo,,,,COMMITMENTOFFSET_ACCT,9,,,,,,,,,,
9102,销售承诺款,,Memo,,,,COMMITMENTOFFSETSALES_ACCT,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
